Date,Denmark,Finland,Norway,Sweden
1/22/20,0,0,0,0
1/23/20,0,0,0,0
1/24/20,0,0,0,0
1/25/20,0,0,0,0
1/26/20,0,0,0,0
1/27/20,0,0,0,0
1/28/20,0,0,0,0
1/29/20,0,1,0,0
1/30/20,0,1,0,0
1/31/20,0,1,0,1
2/1/20,0,1,0,1
2/2/20,0,1,0,1
2/3/20,0,1,0,1
2/4/20,0,1,0,1
2/5/20,0,1,0,1
2/6/20,0,1,0,1
2/7/20,0,1,0,1
2/8/20,0,1,0,1
2/9/20,0,1,0,1
2/10/20,0,1,0,1
2/11/20,0,1,0,1
2/12/20,0,1,0,1
2/13/20,0,1,0,1
2/14/20,0,1,0,1
2/15/20,0,1,0,1
2/16/20,0,1,0,1
2/17/20,0,1,0,1
2/18/20,0,1,0,1
2/19/20,0,1,0,1
2/20/20,0,1,0,1
2/21/20,0,1,0,1
2/22/20,0,1,0,1
2/23/20,0,1,0,1
2/24/20,0,1,0,1
2/25/20,0,1,0,1
2/26/20,0,2,1,2
2/27/20,1,2,1,7
2/28/20,1,2,6,7
2/29/20,3,3,15,12
3/1/20,4,6,19,14
3/2/20,4,6,25,15
3/3/20,6,6,32,21
3/4/20,10,6,56,35
3/5/20,10,12,87,94
3/6/20,23,15,108,101
3/7/20,23,15,147,161
3/8/20,35,23,176,203
3/9/20,90,30,205,248
3/10/20,262,40,400,355
3/11/20,442,59,598,500
3/12/20,615,59,702,599
3/13/20,801,155,996,814
3/14/20,827,225,1090,961
3/15/20,864,244,1221,1022
3/16/20,914,277,1333,1103
3/17/20,977,321,1463,1190
3/18/20,1057,336,1550,1279
3/19/20,1151,400,1746,1439
3/20/20,1255,450,1914,1639
3/21/20,1326,523,2118,1763
3/22/20,1395,626,2385,1934
3/23/20,1450,700,2621,2046
3/24/20,1591,792,2863,2286
3/25/20,1724,880,3084,2526
3/26/20,1877,958,3369,2840
3/27/20,2046,1041,3755,3069
